ticker,sector,industry,country,market_cap_usd
ATEN,Technology,Software - Infrastructure,United States,2012349056.0
ATGE,Unknown,Unknown,Unknown,
ATI,Industrials,Metal Fabrication,United States,21046470656.0
ATKR,Industrials,Electrical Equipment & Parts,United States,2507894528.0
ATMU,Consumer Cyclical,Auto Parts,United States,4217564416.0
ATO,Utilities,Utilities - Regulated Gas,United States,29458010112.0
AU,Basic Materials,Gold,United States,46637445120.0
AUD,Unknown,Unknown,Unknown,
AVA,Utilities,Utilities - Diversified,United States,3339419136.0
AVAV,Industrials,Aerospace & Defense,United States,7995601408.0
AVGO,Technology,Semiconductors,United States,2013133668352.0
AWI,Industrials,Building Products & Equipment,United States,6622474752.0
AX,Financial Services,Banks - Regional,United States,4731663872.0
AXON,Industrials,Aerospace & Defense,United States,31586342912.0
AXP,Financial Services,Credit Services,United States,213895708672.0
AYI,Industrials,Electrical Equipment & Parts,United States,8537660928.0
AZZ,Industrials,Specialty Business Services,United States,4217904384.0
BAB LN,Unknown,Unknown,Unknown,
BAC,Financial Services,Banks - Diversified,United States,353197326336.0
BAMNB NA,Unknown,Unknown,Unknown,
BANF,Financial Services,Banks - Regional,United States,3587026432.0
BAYN GR,Unknown,Unknown,Unknown,
BBIO,Healthcare,Biotechnology,United States,12952303616.0
BBWI,Consumer Cyclical,Specialty Retail,United States,3441627136.0
BBY,Consumer Cyclical,Specialty Retail,United States,11857925120.0
BC,Consumer Cyclical,Recreational Vehicles,United States,5038768128.0
BCO,Industrials,Security & Protection Services,United States,4273311232.0
BCP PL,Unknown,Unknown,Unknown,
BCRX,Healthcare,Drug Manufacturers - Specialty & Generic,United States,2292547328.0
BDC,Technology,Communication Equipment,United States,4130404864.0
BG,Consumer Defensive,Farm Products,United States,23757516800.0
BH,Consumer Cyclical,Restaurants,United States,839499520.0
BIIB,Healthcare,Drug Manufacturers - General,United States,28486582272.0
BILL,Technology,Software - Application,United States,3990840832.0
BJ,Consumer Defensive,Discount Stores,United States,12304442368.0
BK,Financial Services,Banks - Diversified,United States,92674899968.0
BKE,Consumer Cyclical,Apparel Retail,United States,2484717312.0
BKH,Utilities,Utilities - Regulated Gas,United States,5545206272.0
BKNG,Consumer Cyclical,Travel Services,United States,119432019968.0
BKR,Energy,Oil & Gas Equipment & Services,United States,63611445248.0
BKT SM,Unknown,Unknown,Unknown,
BLBD,Industrials,Farm & Heavy Construction Machinery,United States,2274440448.0
BLK,Financial Services,Asset Management,United States,167947649024.0
BLKB,Technology,Software - Application,United States,1417005440.0
BMBL,Communication Services,Internet Content & Information,United States,476274016.0
BMRN,Healthcare,Biotechnology,United States,10014066688.0
BMV: GENTERA,Unknown,Unknown,Unknown,
BMV: Q,Unknown,Unknown,Unknown,
BMY,Healthcare,Drug Manufacturers - General,United States,116398063616.0
BOL SS,Unknown,Unknown,Unknown,
BOOT,Consumer Cyclical,Apparel Retail,United States,4365484032.0
BOX,Technology,Software - Infrastructure,United States,3417600256.0
BPE IM,Unknown,Unknown,Unknown,
BR,Technology,Information Technology Services,United States,16842160128.0
BRBR,Consumer Defensive,Packaged Foods,United States,1126732288.0
BRK/B,Unknown,Unknown,Unknown,
BSX,Healthcare,Medical Devices,United States,78301192192.0
BTSG,Healthcare,Health Information Services,United States,11227875328.0
BTU,Energy,Thermal Coal,United States,2895994880.0
BVMF: CURY3,Unknown,Unknown,Unknown,
BVMF: DIRR3,Unknown,Unknown,Unknown,
BWA,Consumer Cyclical,Auto Parts,United States,12965315584.0
BWXT,Industrials,Aerospace & Defense,United States,18755350528.0
BX,Financial Services,Asset Management,United States,144092463104.0
BXMT,Real Estate,REIT - Mortgage,United States,3046424320.0
BYD,Consumer Cyclical,Resorts & Casinos,United States,5878772224.0
C,Financial Services,Banks - Diversified,United States,210502303744.0
CABK SM,Unknown,Unknown,Unknown,
CABO,Communication Services,Telecom Services,United States,276665056.0
CACI,Technology,Information Technology Services,United States,10757580800.0
CAG,Consumer Defensive,Packaged Foods,United States,6425411072.0
CAH,Healthcare,Medical Distribution,United States,45716983808.0
CAKE,Consumer Cyclical,Restaurants,United States,2955782400.0
CALM,Consumer Defensive,Farm Products,United States,3642311936.0
CALX,Technology,Software - Infrastructure,United States,2539173376.0
CALY,Consumer Cyclical,Leisure,United States,2737707776.0
CAR,Industrials,Rental & Leasing Services,United States,5302986240.0
CARG,Consumer Cyclical,Auto & Truck Dealerships,United States,2585664000.0
CARS,Communication Services,Internet Content & Information,United States,550644864.0
CART,Consumer Cyclical,Internet Retail,United States,9333032960.0
CASH,Financial Services,Banks - Regional,United States,1686691712.0
CASY,Consumer Cyclical,Specialty Retail,United States,31608825856.0
CAT,Industrials,Farm & Heavy Construction Machinery,United States,409148456960.0
CBK GR,Unknown,Unknown,Unknown,
CBOE,Financial Services,Financial Data & Stock Exchanges,United States,37991415808.0
CBRE,Real Estate,Real Estate Services,United States,38051512320.0
CBRL,Consumer Cyclical,Restaurants,United States,686399936.0
CBT,Basic Materials,Specialty Chemicals,United States,4181334784.0
CCEP,Consumer Defensive,Beverages - Non-Alcoholic,United Kingdom,39566557184.0
CCK,Consumer Cyclical,Packaging & Containers,United States,10736615424.0
CCL,Consumer Cyclical,Travel Services,United States,34129838080.0
CCOZF,Energy,Thermal Coal,China,17236260864.0
CDA AU,Unknown,Unknown,Unknown,
CDE,Basic Materials,Gold,United States,18217736192.0
CDNS,Technology,Software - Application,United States,95774343168.0
CDW,Technology,Information Technology Services,United States,13039794176.0
CEG,Utilities,Utilities - Independent Power Producers,United States,96509984768.0
